"appid","average_2weeks","average_forever","developer","median_2weeks","median_forever","name","negative","owners","owners_variance","players_2weeks","players_2weeks_variance","players_forever","players_forever_variance","positive","price","publisher","score_rank","userscore"
"316010","709","1974","Stainless Games Ltd.","193","141","Magic Duels","6406","2724010","52150","55613","7471","2008642","44814","16185","0","Wizards of the Coast LLC","30","71"
"692530","0","3","Pixelshot Games","0","3","Community Garden","0","1049","1026","0","0","791","1550","0","0","Pixelshot Games","","0"
"35480","29","203","Power of 2","32","58","Dwarfs!?","156","358077","18953","1177","1330","184941","13623","577","999","Tripwire Interactive","42","81"
"19080","0","46","G5 Entertainment","0","86","Biozone","5","1049","1026","0","0","1182","1335","2","999","Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH","1","28"
"521950","116","921","VikingVRStudio","116","187","Bullet Sorrow VR","29","12329","3518","787","888","10755","3285","214","1999","VikingVRStudio","67","88"
"575890","0","0","Creobit","0","0","Katy and Bob Way Back Home","0","791","1550","0","0","0","0","0","499","8Floor","","0"
"587310","0","322","Torch60","0","322","Soma Spirits: Rebalance","0","1049","1026","0","0","1049","1026","19","299","Torch60","100","100"
"569360","265","185","Niko Kivilahti","352","194","Pivot Pilot","1","9444","3079","2759","2041","4984","2236","25","699","Niko Kivilahti","95","100"
"452860","152","287","isTom Games Kft.","152","179","Mad Bullets","12","8657","2947","788","1090","6296","2514","149","199","isTom Games Kft.","82","93"
"355400","0","25","LLC Intenzibne","0","28","Diesel Guns","8","1312","1147","0","0","1049","1026","67","499","LLC Intenzibne","70","89"
"359940","0","154","Andrii Vintsevych","0","139","Shadows Peak","47","7345","2715","0","0","4984","2236","116","999","Andrii Vintsevych","30","67"
"22340","44","228","Headfirst Productions","20","78","Call of Cthulhu: Dark Corners of the Earth","456","242128","15587","2365","1890","119884","10969","1103","499","Bethesda Softworks","28","70"
"329630","0","2284","Ozark Softscape","0","3520","Command HQ","1","20724","4561","0","0","2886","1702","24","699","Retroism, Nightdive Studios","95","94"
"698950","0","0","ILIN DMITRY IGOREVICH","0","0","Chaos and the White Robot","0","8919","2992","0","0","0","0","0","199","ILIN DMITRY IGOREVICH","","0"
"439490","253","285","Stellar Circle","359","130","BLUE REVOLVER","0","11805","3442","2374","2685","9444","3079","189","1499","Stellar Circle","100","100"
"302490","0","293","Alawar","0","206","Ballad of Solar","15","12592","3555","0","0","9444","3079","105","699","Buka Entertainment","64","86"
"453660","453","316","Go Dark Studios","453","388","Rogue Contracts: Syndicate","0","4197","2052","784","1536","3673","1920","4","99","Go Dark Studios","100","100"
"236790","0","205","Actalogic","0","29","Agricultural Simulator 2013 - Steam Edition","467","105718","10300","0","0","49842","7073","143","999","United Independent Entertainment GmbH","1","22"
"567670","119","120","Croteam VR","119","63","Serious Sam 3 VR: BFE","7","14953","3874","787","888","5771","2407","131","3999","Devolver Digital, Croteam Publishing","89","94"
"335320","80","153","Kylotonn","80","40","Bet On Soldier","38","41185","6429","784","1536","8132","2857","80","799","Microids","24","78"
"617420","0","283","Blue Sunset Games","0","152","Animal Rivals","15","7083","2666","0","0","4722","2177","23","99","Blue Sunset Games","16","50"
"412860","0","34","","0","35","Zombie Office Politics","4","6296","2514","0","0","1183","1336","17","399","Gateside Games","46","100"
"439550","0","27","Skobbejak Games","0","32","'n Verlore Verstand","25","5247","2295","0","0","1312","1147","25","1499","Skobbejak Games","9","43"
"566050","852","1513","Impressions Games","844","483","Zeus + Poseidon","9","36464","6050","3410","1850","24134","4922","155","999","Activision","89","94"
"735470","2","2","TSMOUNT, Inc.","2","2","vBuilder","0","2099","1451","791","1550","791","1550","0","0","TSMOUNT, Inc.","","0"
"757720","3","8","oksdev","3","14","Evil Come","0","7345","2715","784","1536","1182","1335","0","99","oksdev","","0"
